"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","E394_CourseOfStudyName","E310_CourseOfStudyType","E350_CourseOfStudyLoad","E455_CombinedCourseOfStudyIndicator"
35,1055,"HEP",1554,"25130","Bachelor of Architecture - Graduate",8,"2.0",0
35,1055,"HEP",1555,"2512H","Bachelor of Environmental Design (Honours)",9,"1.0",0
35,1055,"HEP",1556,"25120","Bachelor of Environmental Design",10,"3.0",0
35,1055,"HEP",1557,"2500U","Cross Institutional (Architecture) Undergraduate",41,"NULL",0
35,1055,"HEP",1558,"2500P","Cross Institutional (Architecture) Postgraduate",42,"NULL",0
35,1055,"HEP",1559,"21190","Bachelor of Laws - Graduate",8,"3.8",0
35,1055,"HEP",1560,"21180","Bachelor of Laws - Undergraduate",10,"4.1",0
35,1055,"HEP",1561,"25770","Master of Curatorial Studies in Fine Arts - Research",3,"2.0",0
35,1055,"HEP",1562,"25750","Master of Landscape Architecture - Research",3,"2.0",0
35,1055,"HEP",1563,"25740","Master of Fine Arts - Research",3,"2.0",0
35,1055,"HEP",1564,"25730","Master of Environmental Design - Research",3,"2.0",0
35,1055,"HEP",1565,"25910","Doctor of Architecture",1,"0.0",0
35,1055,"HEP",1566,"3000N","Non-Award  (Education)",50,"0.0",0
35,1055,"HEP",1567,"3000P","Cross Institutional (Education) Postgraduate",42,"NULL",0
35,1055,"HEP",1568,"3000U","Cross Institutional (Education) Undergraduate",41,"NULL",0
35,1055,"HEP",1569,"30020","Not for Degree (Education), Postgraduate",42,"0.0",0
35,1055,"HEP",1570,"30130","Bachelor of Educational Studies",8,"1.0",0
35,1055,"HEP",1571,"30140","Bachelor of Education (Honours)",8,"1.0",0
35,1055,"HEP",1572,"30240","Graduate Diploma in Educational Management",6,"0.5",0
35,1055,"HEP",1573,"30330","Graduate Diploma in Educational Studies",7,"1.0",0
35,1055,"HEP",1574,"30340","Graduate Diploma in Education",6,"1.0",0
35,1055,"HEP",1575,"30490","Higher Degree by Research Preliminary",5,"1.0",0
35,1055,"HEP",1576,"30550","Master of Education in Applied Linguistics - Cswk",4,"2.0",0
35,1055,"HEP",1577,"30560","Master of Educational Studies - Coursework",4,"1.0",0
35,1055,"HEP",1578,"30580","Master of Education - Course Work",4,"1.0",0
35,1055,"HEP",1579,"30590","Master of Educational Psychology",4,"1.0",0
35,1055,"HEP",1580,"30600","Master of Educational Studies - Dissertation & Coursework",3,"2.0",0
35,1055,"HEP",1581,"30610","Master of Education - Dissertation & Coursework",3,"2.0",0
35,1055,"HEP",1582,"30640","Master of Education in Applied Linguistics - Diss & Cswk",3,"2.0",0
35,1055,"HEP",1583,"30620","Master of Special Education - Dissertation & Coursework",3,"2.0",0
35,1055,"HEP",1584,"30730","Master of Education in Applied Linguistics - Research",3,"2.0",0
35,1055,"HEP",1585,"30650","Master of Educational Management - Dissertation & Coursework",3,"2.0",0
35,1055,"HEP",1586,"30700","Master of Education - Dissertation & Coursework",3,"2.0",0
35,1055,"HEP",1587,"30770","Master of Education - Research",3,"2.0",0
35,1055,"HEP",1588,"30740","Master of Special Education - Research",3,"2.0",0
35,1055,"HEP",1589,"31380","Graduate Diploma in the Teaching of Critical Thinking",6,"0.5",0
35,1055,"HEP",1590,"31360","Graduate Diploma in Language and Literacy",6,"0.5",0
35,1055,"HEP",1591,"31350","Graduate Diploma in Curriculum Leadership",6,"0.5",0
35,1055,"HEP",1592,"30810","Doctor of Education",2,"4.0",0
35,1055,"HEP",1593,"30820","Doctor of Educational Psychology",2,"4.0",0
35,1055,"HEP",1594,"31400","Graduate Diploma in Education",6,"1.3",0
35,1055,"HEP",1595,"31390","Graduate Diploma in Professional Studies in Education",7,"0.5",0
35,1055,"HEP",1596,"31600","Master of Educational Studies by Thesis & Coursework",3,"1.0",0
35,1055,"HEP",1597,"4000U","Cross Institutional (Economics & Commerce) Undergraduate",41,"NULL",0
35,1055,"HEP",1598,"4000P","Cross Institutional (Economics & Commerce) Postgraduate",42,"NULL",0
35,1055,"HEP",1599,"4000N","Non-Award (Econ & Comm)",50,"NULL",0
35,1055,"HEP",1600,"31620","Master of Special Education by Thesis & Coursework",3,"1.0",0
35,1055,"HEP",1601,"31640","Master of Education in Applied Linguistics - Thesis & Cswk",3,"1.0",0
35,1055,"HEP",1602,"31700","Master of Education - Thesis & Coursework",3,"1.0",0
35,1055,"HEP",1603,"4011H","Bachelor of Commerce (Honours)",9,"1.0",0
35,1055,"HEP",1604,"40110","Bachelor of Commerce",10,"3.0",0
35,1055,"HEP",1605,"40020","Not for Degree (Econ & Com), Postgraduate",42,"0.0",0
35,1055,"HEP",1606,"40030","Cross Institutional (GSM) Postgraduate",42,"NULL",0
35,1055,"HEP",1607,"4012H","Bachelor of Economics (Honours)",9,"1.0",0
35,1055,"HEP",1608,"40120","Bachelor of Economics",10,"3.0",0
35,1055,"HEP",1609,"40220","Graduate Certificate in Technology Commercialisation",11,"0.5",0
35,1055,"HEP",1610,"40210","Graduate Certificate in Business Administration",11,"0.5",0
35,1055,"HEP",1611,"40290","Graduate Diploma in Professional Accounting",7,"1.0",0
35,1055,"HEP",1612,"40310","Graduate Certificate in Management",11,"0.5",0
35,1055,"HEP",1613,"40350","Graduate Diploma in Accounting",7,"1.0",0
35,1055,"HEP",1614,"40330","Graduate Diploma in Economics",7,"1.0",0
35,1055,"HEP",1615,"40380","Graduate Diploma in Marketing",7,"1.0",0
35,1055,"HEP",1616,"40360","Graduate Diploma in Finance",7,"1.0",0
35,1055,"HEP",1617,"40370","Graduate Diploma in Business Administration",7,"1.0",0
35,1055,"HEP",1618,"40410","Master of Commerce - Preliminary",5,"1.0",0
35,1055,"HEP",1619,"40490","Higher Degree by Research Preliminary - Business",5,"1.0",0
35,1055,"HEP",1620,"40500","Master of Accounting - Coursework",4,"2.0",0
35,1055,"HEP",1621,"40610","Master of Professional Accounting - Coursework",4,"2.0",0
35,1055,"HEP",1622,"40510","Master of Finance - Coursework",4,"2.0",0
35,1055,"HEP",1623,"40670","Master of Information Management - Coursework",4,"1.0",0
35,1055,"HEP",1624,"40650","Master of Human Resource Management",4,"1.0",0
35,1055,"HEP",1625,"40620","Master of Economics - Coursework",4,"2.0",0
35,1055,"HEP",1626,"40830","Doctor of Business Administration",2,"4.0",0
35,1055,"HEP",1627,"40740","Master of Industrial Relations - Research",3,"2.0",0
35,1055,"HEP",1628,"40730","Master of Japanese Studies - Research",3,"2.0",0
35,1055,"HEP",1629,"40710","Master of Commerce - Research",3,"2.0",0
35,1055,"HEP",1630,"40720","Master of Economics - Research",3,"2.0",0
35,1055,"HEP",1631,"40680","Master of Marketing - Coursework",4,"1.0",0
35,1055,"HEP",1632,"40690","Master of Electronic Marketing and Information Management",4,"1.0",0
35,1055,"HEP",1633,"41500","Master of Logistic Engineering and Management",4,"2.0",0
35,1055,"HEP",1634,"41320","Graduate Diploma in Business Economics",7,"1.0",0
35,1055,"HEP",1635,"41310","Graduate Diploma in Commerce",7,"1.0",0
35,1055,"HEP",1636,"41550","Executive Master of Business Administration",4,"1.5",0
35,1055,"HEP",1637,"41540","Master of Business Administration (International)-Coursework",4,"2.0",0
35,1055,"HEP",1638,"41520","Master of Business Administration - Coursework",4,"1.5",0
35,1055,"HEP",1639,"41530","Master of Business Administration (Advanced) - Coursework",4,"2.0",0
35,1055,"HEP",1640,"41610","Master of Commerce - Coursework",4,"1.5",0
35,1055,"HEP",1641,"41640","Master of Transport Studies - Coursework & Dissertation",4,"1.5",0
35,1055,"HEP",1642,"41630","Master of Human Resources and Industrial Relations",4,"1.0",0
35,1055,"HEP",1643,"41620","Master of Electronic Business",4,"1.0",0
35,1055,"HEP",1644,"5011H","Bachelor of Science (Honours)",9,"1.0",0
35,1055,"HEP",1645,"50110","Bachelor of Science",10,"3.0",0
35,1055,"HEP",1646,"5010H","Bachelor of Computer and Mathematical Sciences (Honours)",9,"1.0",0
35,1055,"HEP",1647,"50100","Bachelor of Computer and Mathematical Sciences",10,"3.0",0
35,1055,"HEP",1648,"50020","Not for Degree (Science), Postgraduate",42,"0.0",0
35,1055,"HEP",1649,"5000P","Cross Institutional  (Science) Postgraduate",42,"0.0",0
35,1055,"HEP",1650,"5000U","Cross Institutional (Science) Undergraduate",41,"0.0",0
35,1055,"HEP",1651,"5000N","Non-Award (Science)",50,"0.0",0
35,1055,"HEP",1652,"50250","Bachelor of Molecular Biology",8,"1.0",0
35,1055,"HEP",1653,"50240","Bachelor of Plant Biology",10,"1.0",0
35,1055,"HEP",1654,"5015H","Bachelor of Physical and Health Education (Honours)",9,"1.0",0
35,1055,"HEP",1655,"50150","Bachelor of Physical and Health Education",10,"3.0",0
35,1055,"HEP",1656,"50140","Bachelor of Cognitive Science",10,"3.0",0
35,1055,"HEP",1657,"50300","Graduate Diploma in Science",7,"1.0",0
35,1055,"HEP",1658,"50260","Bachelor of Health Science",10,"4.0",0
35,1055,"HEP",1659,"50320","Graduate Diploma in Forensic Science",6,"1.0",0
35,1055,"HEP",1660,"50330","Bachelor of Health Science (Honours)",9,"1.0",0
35,1055,"HEP",1661,"50370","Graduate Diploma in Surgical Anatomy",6,"1.0",0
35,1055,"HEP",1662,"50340","Graduate Diploma in Psychology",6,"1.8",0
35,1055,"HEP",1663,"50490","Higher Degree by Research Preliminary - Science",5,"1.0",0
35,1055,"HEP",1664,"50500","Master of Science - Coursework",4,"2.0",0
35,1055,"HEP",1665,"50550","Master of Psychology in Clinical Neuropsychology",4,"2.0",0
35,1055,"HEP",1666,"50570","Master of Science Education - Coursework",4,"1.0",0
35,1055,"HEP",1667,"50590","Master of Science (Ore Deposit Geology) - Coursework",4,"1.0",0
35,1055,"HEP",1668,"50560","Master of Psychology - Coursework",4,"2.0",0
35,1055,"HEP",1669,"50620","Master of Forensic Science - Dissertation & Coursework",3,"2.0",0
35,1055,"HEP",1670,"50720","Master of Science Education - Research",3,"2.0",0
35,1055,"HEP",1671,"50640","Master of Cognitive Science - Dissertation & Coursework",3,"2.0",0
35,1055,"HEP",1672,"50710","Master of Science - Research",3,"2.0",0
35,1055,"HEP",1673,"50750","Master of Science - Research",3,"2.0",0
35,1055,"HEP",1674,"50740","Master of Cognitive Science - Research",3,"2.0",0
35,1055,"HEP",1675,"50910","Doctor of Science",1,"NULL",0
35,1055,"HEP",1676,"5112H","Bachelor of Science and Technology (Honours)",9,"1.0",0
35,1055,"HEP",1677,"51120","Bachelor of Science and Technology",8,"1.5",0
35,1055,"HEP",1678,"50760","Master of Regional Development - Research",3,"2.0",0
35,1055,"HEP",1679,"51140","Bachelor of Recreation and Health Managem",10,"1.0",0
35,1055,"HEP",1680,"51130","Bachelor of Science European",8,"1.0",0
35,1055,"HEP",1681,"51150","Bachelor of Exercise Rehabilitation Science",8,"1.0",0
35,1055,"HEP",1682,"51230","Graduate Certificate in Sports Science",11,"0.5",0
35,1055,"HEP",1683,"51240","Graduate Certificate in Science Communication",11,"0.5",0
35,1055,"HEP",1684,"51260","Graduate Certificate in Regional Development",11,"0.5",0
35,1055,"HEP",1685,"51250","Graduate Certificate in Science Education",11,"0.5",0
35,1055,"HEP",1686,"51300","Graduate Diploma in Anatomical Sciences",7,"1.0",0
35,1055,"HEP",1687,"51310","Graduate Diploma in Pharmaceutical Science",7,"1.5",0
35,1055,"HEP",1688,"51320","Graduate Diploma in Human Biology",7,"1.0",0
35,1055,"HEP",1689,"51340","Graduate Diploma in Science Communication",6,"1.0",0
35,1055,"HEP",1690,"51360","Graduate Diploma in Regional Development",7,"1.0",0
35,1055,"HEP",1691,"51530","Master of Science - Coursework & Dissertation",4,"1.0",0
35,1055,"HEP",1692,"51520","Master of Forensic Science - Coursework",4,"2.0",0
35,1055,"HEP",1693,"51510","Master of Psychology (Industrial and Organisational Psychology)",4,"2.0",0
35,1055,"HEP",1694,"51500","Master of Pharmacy - Coursework",4,"3.0",0
35,1055,"HEP",1695,"51560","Master of Regional Development - Coursework",4,"2.0",0
35,1055,"HEP",1696,"6013H","Bachelor of Computer Science (Honours)",9,"1.0",0
35,1055,"HEP",1697,"60130","Bachelor of Computer Science",10,"3.0",0
35,1055,"HEP",1698,"60110","Bachelor of Engineering",10,"4.0",0
35,1055,"HEP",1699,"60020","Not for Degree (Engineering), Postgraduate",42,"0.0",0
35,1055,"HEP",1700,"6000U","Cross Institutional (Engineering) Undergraduate",41,"NULL",0
35,1055,"HEP",1701,"6000P","Cross Institutional (Engineering) Postgraduate",42,"NULL",0
35,1055,"HEP",1702,"6000N","Non-Award (Engineering)",50,"NULL",0
35,1055,"HEP",1703,"51610","Master of Science - Thesis and Coursework",3,"2.0",0
35,1055,"HEP",1704,"60250","Graduate Certificate in Oil & Gas Engineering",11,"0.5",0
35,1055,"HEP",1705,"60220","Graduate Certificate in Information Technology",11,"0.5",0
35,1055,"HEP",1706,"60260","Graduate Certificate in Engineering",11,"0.5",0
35,1055,"HEP",1707,"60300","Graduate Diploma in Computer & Mathematical Sciences",7,"1.0",0
35,1055,"HEP",1708,"60340","Graduate Diploma in Oil and Gas Engineering",7,"1.0",0
35,1055,"HEP",1709,"6032H","Graduate Diploma in Information Technology (Honours)",7,"1.0",0
35,1055,"HEP",1710,"60390","Graduate Diploma in Financial Mathematics",7,"1.0",0
35,1055,"HEP",1711,"60360","Graduate Diploma in Computer Science",7,"1.0",0
35,1055,"HEP",1712,"60540","Master of Oil and Gas Engineering - Coursework",4,"2.0",0
35,1055,"HEP",1713,"60490","Higher Degree by Research Preliminary - Engineering, Computing and Mathematics",5,"1.0",0
35,1055,"HEP",1714,"60550","Master of Oil and Gas Engineering - Coursework",4,"2.0",0
35,1055,"HEP",1715,"60560","Master of Engineering - Coursework",4,"2.0",0
35,1055,"HEP",1716,"60570","Master of Medical Engineering",4,"1.0",0
35,1055,"HEP",1717,"60590","Master of Financial Mathematics",4,"1.5",0
35,1055,"HEP",1718,"60600","Master of Computer Science",4,"2.0",0
35,1055,"HEP",1719,"60620","Master of Natural Systems Engineering",4,"2.0",0
35,1055,"HEP",1720,"60720","Master of Engineering - Research",3,"2.0",0
35,1055,"HEP",1721,"60910","Doctor of Engineering",1,"0.0",0
35,1055,"HEP",1722,"7000N","Non-Award (Agriculture)",50,"0.0",0
35,1055,"HEP",1723,"7000P","Cross Institutional (Agriculture) Postgraduate",42,"NULL",0
35,1055,"HEP",1724,"61510","Master of Mathematical and Statistical Science",4,"2.0",0
35,1055,"HEP",1725,"70110","Bachelor of Science in Agriculture",10,"4.0",0
35,1055,"HEP",1726,"7000U","Cross Institutional (Agriculture) Undergraduate",41,"0.0",0
35,1055,"HEP",1727,"70100","Bachelor of Science",10,"4.0",0
35,1055,"HEP",1728,"70120","Bachelor of Science in Animal Science",10,"4.0",0
35,1055,"HEP",1729,"7011H","Bachelor of Science in Agriculture (Honours)",9,"1.0",0
35,1055,"HEP",1730,"7012H","Bachelor of Science in Animal Science (Honours)",9,"1.0",0
35,1055,"HEP",1731,"70170","Bachelor of Science in Landscape Management",10,"4.0",0
35,1055,"HEP",1732,"70160","Bachelor of Science in Horticulture and Viticulture",10,"4.0",0
35,1055,"HEP",1733,"7014H","Bachelor of Science in Natural Resource Management (Honours)",9,"1.0",0
35,1055,"HEP",1734,"70140","Bachelor of Science in Natural Resource Management",10,"4.0",0
35,1055,"HEP",1735,"70130","Bachelor of Science in Horticulture",10,"4.0",0
35,1055,"HEP",1736,"71030","Bachelor of Science in Restoration Ecology",10,"4.0",0
35,1055,"HEP",1737,"70910","Doctor of Science in Agriculture",1,"0.0",0
35,1055,"HEP",1738,"70740","Master of Science in Viticulture - Research",3,"2.0",0
35,1055,"HEP",1739,"70750","Master of Landscape Management - Research",3,"2.0",0
35,1055,"HEP",1740,"70730","Master of Science in Horticulture - Research",3,"2.0",0
35,1055,"HEP",1741,"70720","Master of Science in Natural Resources - Research",3,"2.0",0
35,1055,"HEP",1742,"70710","Master of Science in Agriculture - Research",3,"2.0",0
35,1055,"HEP",1743,"70610","Master of Science in Natural Resource Management - Diss & Cswk",3,"2.0",0
35,1055,"HEP",1744,"70490","Higher Degree by Research Preliminary - Science",5,"1.0",0
35,1055,"HEP",1745,"70410","Master of Science in Agriculture - Preliminary",5,"1.0",0
35,1055,"HEP",1746,"70420","Master of Science in Natural Resource Management-Preliminary",5,"1.0",0
35,1055,"HEP",1747,"70360","Graduate Diploma in Science in Horticulture",7,"1.0",0
35,1055,"HEP",1748,"70350","Graduate Diploma in Science in Agriculture",7,"1.0",0
35,1055,"HEP",1749,"70370","Graduate Diploma in Science in Natural Resource Management",7,"1.0",0
35,1055,"HEP",1750,"70240","Graduate Certificate in Viticulture",11,"0.5",0
35,1055,"HEP",1751,"7017H","Bachelor of Science in Landscape Management (Honours)",9,"1.0",0
35,1055,"HEP",1752,"7016H","Bachelor of Science in Horticulture and Viticulture (Honours)",9,"1.0",0
35,1055,"HEP",1753,"70190","Bachelor of Conservation Biology & Management",10,"4.0",0
35,1055,"HEP",1754,"71260","Graduate Certificate in Regional Development",11,"0.5",0
35,1055,"HEP",1755,"71360","Graduate Diploma in Regional Development",6,"1.0",0
35,1055,"HEP",1756,"71560","Master of Regional Development - Coursework",4,"2.0",0
35,1055,"HEP",1757,"71610","Master of Science in Natural Resource Management - Thesis & Cswk",3,"2.0",0
35,1055,"HEP",1758,"8000N","Non-Award (Dentistry)",50,"0.0",0
35,1055,"HEP",1759,"8000P","Cross Institutional (Dentistry) Postgraduate",42,"0.0",0
35,1055,"HEP",1760,"8000U","Cross Institutional (Dentistry) Undergraduate",41,"0.0",0
35,1055,"HEP",1761,"80120","Bachelor of Science in Dentistry",9,"1.0",0
35,1055,"HEP",1762,"80300","Graduate Diploma in Dental Education Studies",7,"1.0",0
35,1055,"HEP",1763,"80320","Graduate Diploma in Dentistry",7,"1.0",0
35,1055,"HEP",1764,"80330","Graduate Diploma in Dental Public & Primary Health",6,"1.0",0
35,1055,"HEP",1765,"80350","Graduate Diploma in Dental Studies",7,"1.0",0
35,1055,"HEP",1766,"80490","Higher Degree by Research Preliminary - Dentistry",5,"1.0",0
35,1055,"HEP",1767,"90140","Bachelor of Paramedical Health Science",10,"3.0",0
35,1055,"HEP",1768,"90120","Bachelor of Medical Science",9,"1.0",0
35,1055,"HEP",1769,"90020","Not for Degree (Medicine), Postgraduate",42,"0.0",0
35,1055,"HEP",1770,"90110","Bachelor of Medicine and Bachelor of Surgery",10,"6.0",0
35,1055,"HEP",1771,"80910","Doctor of Dental Science",1,"NULL",0
35,1055,"HEP",1772,"9000N","Non-Award (Medicine)",50,"NULL",0
35,1055,"HEP",1773,"9000P","Cross Institutional (Medicine) Postgraduate",42,"NULL",0
35,1055,"HEP",1774,"9000U","Cross Institutional (Medicine) Undergraduate",41,"NULL",0
35,1055,"HEP",1775,"80510","Master of Dental Science - Coursework",4,"3.0",0
35,1055,"HEP",1776,"80530","Master of Dental Public & Primary Health",4,"2.0",0
35,1055,"HEP",1777,"80720","Master of Science in Dentistry - Research",3,"2.0",0
35,1055,"HEP",1778,"91330","Graduate Diploma in Neurological Rehabilitation",6,"1.0",0
35,1055,"HEP",1779,"91560","Master of Manual Therapy (Coursework)",4,"1.0",0
35,1055,"HEP",1780,"91320","Graduate Diploma in Public Health Practice",7,"1.0",0
35,1055,"HEP",1781,"91310","Graduate Diploma in Manual Therapy",7,"1.0",0
35,1055,"HEP",1782,"91290","Graduate Certificate in Manual Therapy",11,"0.5",0
35,1055,"HEP",1783,"91260","Graduate Certificate in Health Studies",11,"0.5",0
35,1055,"HEP",1784,"91250","Graduate Certificate in Paediatric Sleep Science",11,"0.5",0
35,1055,"HEP",1785,"91240","Graduate Certificate in Paediatric Respiratory Science",11,"0.5",0
35,1055,"HEP",1786,"90730","Master of Emergency Medicine - Research",3,"2.0",0
35,1055,"HEP",1787,"90930","Doctor of Surgery",1,"0.0",0
